marker_name,compartment,family,compartment_desc,family_desc,marker_full_name
CD3e,membrane,t_cell_marker,membrane protein,T-cell lineage marker,T-cell receptor CD3 complex
panCK,membrane,epithelial_marker,membrane protein,Epithelial marker,Pan-cytokeratin (KRT family)
SOX2,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,SRY-related HMG-box protein 9
p16INK4a,nucleus,cell_cycle,nuclear protein,Cell-cycle/proliferation marker,cyclin-dependent kinase inhibitor 2A (CDKN2A)
Synaptophysin,membrane,activation_marker,membrane protein,Immune activation marker,Synaptophysin
CK20,cytoplasm,epithelial_keratin,cytoplasmic protein,Epithelial keratin (cytoskeletal filaments),Cytokeratin 20 (KRT20)
COLLAGENiv,extracellular,ecm_matrix,extracellular protein,Extracellular matrix component,Collagen (general)
granzymeb,cytoplasm,activation_marker,cytoplasmic protein,Immune activation marker,Granzyme B
tcf1/7,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,Transcription factor 7 (TCF7)
mhci,membrane,mhc_i,membrane protein,MHC class I,Human leukocyte antigen
COL1A,extracellular,ecm_matrix,extracellular protein,Extracellular matrix component,Collagen (general)
CD98,membrane,activation_marker,membrane protein,Immune activation/metabolic transporter marker,Cluster of Differentiation 98 (SLC3A2)
OX40,membrane,activation_marker,membrane protein,T cell co-stimulatory receptor,OX40 (CD134 / TNFRSF4)
pH2AX,nucleus,histone_mod,nuclear protein,DNA damage response marker,Phosphorylated Histone H2A.X (Ser139)
cla_cd162,membrane,pan_leukocyte,membrane protein,Pan-leukocyte marker,P-selectin glycoprotein ligand 1 (SELPLG CD162)
mastcell_tryptase,cytoplasm,myeloid_marker,cytoplasmic protein,Myeloid-lineage marker,Mast cell tryptase (TPSAB1)
DRAQ5,nucleus,dna_stain,nuclear protein,DNA stain for nuclei,DRAQ5 far-red DNA dye (DRAQ5)
IL-10,extracellular,immune_checkpoint,extracellular protein,Immune checkpoint/ligand (membrane),Interleukin-10
ifn_y,extracellular,activation_marker,extracellular protein,Immune activation marker,Interferon gamma (IFNG)
tox_tox2,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,Thymocyte selection-associated high mobility group box proteins TOX and TOX2 (TOX TOX2)
pancytokeratin,membrane,epithelial_marker,membrane protein,Epithelial marker,Pan-cytokeratin (KRT family)
DAPI,nucleus,dna_stain,nuclear protein,DNA stain for nuclei,"4′,6-diamidino-2-phenylindole"
ARID1A,nucleus,chromatin_remodeler,nuclear protein,Chromatin remodeling factor,AT-rich interactive domain-containing protein 1A
ATRX,nucleus,chromatin_remodeler,nuclear protein,Chromatin remodeling factor,Alpha thalassemia/mental retardation syndrome X-linked protein
BCL6,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,B-cell lymphoma 6 protein
CDT1,nucleus,cell_cycle,nuclear protein,Cell-cycle/proliferation marker,DNA replication factor Cdt1
EBNA1,nucleus,qc_mask,nuclear protein,Derived mask/pseudo-channel,Epstein–Barr nuclear antigen 1
EOMES,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,Eomesodermin
ERB,nucleus,activation_marker,nuclear protein,Immune activation marker,Estrogen receptor beta (ESR2)
FOXP3,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,Forkhead box protein P3
GATA3,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,GATA-binding protein 3
GEMININ,nucleus,cell_cycle,nuclear protein,Cell-cycle/proliferation marker,Geminin (GMNN)
H2AX,nucleus,histone_core,nuclear protein,Core histone protein,H2A histone family member X
H3K27AC,nucleus,histone_mod,nuclear protein,Histone post-translational modification,Histone H3 acetylated at lysine 27
H3K27ME3,nucleus,histone_mod,nuclear protein,Histone post-translational modification,Histone H3 trimethylated at lysine 27
HEY1,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,Transcription factor HEY1
HISTONEH3,nucleus,histone_core,nuclear protein,Core histone protein,Histone H3
IRF4,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,Interferon regulatory factor 4 (MUM1)
KI67,nucleus,cell_cycle,nuclear protein,Cell-cycle/proliferation marker,Proliferation marker protein Ki-67 (MKI67)
P53,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,Cellular tumor antigen p53 (TP53)
PAX5,nucleus,b_cell_marker,nuclear protein,B-cell lineage marker,Paired box protein Pax-5
pHH3,nucleus,cell_cycle,nuclear protein,Cell-cycle/proliferation marker,Phospho-Histone H3
PROX1,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,Prospero homeobox protein 1
RB,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,Retinoblastoma-associated protein (RB1)
TBET,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,T-box transcription factor TBX21 (T-bet)
TCF1,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,Transcription factor 7 (TCF7)
TOX,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,Thymocyte selection-associated high mobility group box protein (TOX)
PTEN,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,Phosphatase and tensin homolog
RELA,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,NF-kB p65 subunit (RELA)
RELB,nucleus,transcription_factor,nuclear protein,Nuclear transcription factor,NF-kB subunit RelB (RELB)
A-SMA,cytoplasm,cytoskeleton,cytoplasmic protein,Cytoskeleton component,Alpha-smooth muscle actin (ACTA2)
ACE2,membrane,pan_leukocyte,membrane protein,Pan-leukocyte marker,Angiotensin-converting enzyme 2
ASS1,cytoplasm,metabolic_transporter,cytoplasmic protein,Metabolic transporter/marker,Argininosuccinate synthase 1
ATP5A,cytoplasm,metabolic_transporter,cytoplasmic protein,Metabolic transporter/marker,"ATP synthase subunit alpha, mitochondrial (ATP5F1A)"
B-CATENIN,membrane,epithelial_marker,membrane protein,Epithelial marker,Beta-catenin (CTNNB1)
B-TUBULIN,cytoplasm,cytoskeleton,cytoplasmic protein,Cytoskeleton component,Beta-tubulin
B2M,membrane,mhc_i,membrane protein,MHC class I,Beta-2-microglobulin
B7H3,membrane,immune_checkpoint,membrane protein,Immune checkpoint/ligand (membrane),B7 homolog 3 (CD276)
BCL2,cytoplasm,activation_marker,cytoplasmic protein,Immune activation marker,B-cell lymphoma 2 protein
BDCA-2,membrane,pan_leukocyte,membrane protein,Pan-leukocyte marker,Blood dendritic cell antigen 2 (CLEC4C)
C1Q,extracellular,activation_marker,extracellular protein,Immune activation marker,Complement component C1q
C4A,extracellular,activation_marker,extracellular protein,Immune activation marker,Complement component 4A
